Group,$k$,$N$,$\rho$,SE,$t$,$p$,$\textrm{CI}^{95}_{LL}$,$\textrm{CI}^{95}_{UL}$,$I^2$
\textbf{Visual factors},NA,NA,NA,NA,NA,NA,NA,NA,NA
Salience,12,1251,0.13,0.04,3.36,0.012,0.04,0.23,0
NA,(2),(372),(0.24),(0.06),(3.71),(<0.001),(0.11),(0.37),(0)
Surface size,9,1425,0.35,0.07,4.87,0.002,0.18,0.52,69.57
NA,(2),(512),(0.43),(0.1),(4.22),(<0.001),(0.23),(0.63),(61.72)
Left vs right position,5,552,0.24,0.14,1.72,0.161,-0.15,0.63,61.17
NA,(2),(422),(0.07),(0.08),(0.92),(0.359),(-0.08),(0.23),(0)
Center position,11,1134,0.43,0.1,4.35,0.005,0.19,0.67,69.13
NA,(2),(608),(0.67),(0.09),(7.05),(<0.001),(0.48),(0.86),(40.83)
Set size,13,1007,0.24,0.07,3.38,0.01,0.08,0.41,58.28
NA,(2),(247),(0.24),(0.14),(1.66),(0.096),(-0.04),(0.52),(65.4)
\textbf{Cognitive factors},NA,NA,NA,NA,NA,NA,NA,NA,NA
Task instructions,28,2060,0.35,0.05,6.73,<0.001,0.24,0.46,52.72
NA,(2),(657),(0.21),(0.05),(3.94),(<0.001),(0.1),(0.31),(0)
Preferential viewing,24,2633,0.36,0.1,3.69,0.002,0.15,0.56,80.64
NA,(2),(688),(0.31),(0.13),(2.43),(0.015),(0.06),(0.55),(87.05)
Choice-gaze effect,18,835,0.59,0.1,5.88,<0.001,0.38,0.81,63.76
NA,(2),(361),(0.26),(0.12),(2.22),(0.026),(0.03),(0.48),(55.99)
